rapper,lyrics
Jay-Z,"That's fried chicken, curry chicken, damn, I'm getting fat
Arroz con pollo, French fries and crêpes"
Jay-Z,"Like my puss wet and they don't dry, like damp clothes
What y'all niggas don't know – it's e–asy to pimp a hoe"
Jay-Z,"I was raised in the projects, roaches and rats
Smokers out back sellin' they mama's sofa"
Jay-Z,"Only God could judge us, motherfuckers, uh
Have you ever been to heaven?"
Jay-Z,"Niggas bustin' off through the curtains 'cause she hurtin'
Kay losin' the babies 'cause their future's uncertain"
Jay-Z,"And Jesus can't save you, life starts when the church end
Came here for school, graduated to the high life"
Jay-Z,"I missed the karma that came as a consequence
Niggas bustin' off through the curtains 'cause she hurtin'"
Jay-Z,"The soul of a hustler, I really ran the street
A CEO's mind, that marketin' plan was me"
Jay-Z,"So hopefully you won't have to go through that
I was raised in the projects, roaches and rats"
Jay-Z,"Made a fortune off Peru, extradite, China White, heroin
Nigga, please, like short sleeves, I bear arms (Umm)"
Jay-Z,"I got a hunnid, I got a hunnid drops
Need a hunnid, got a hunnid"
Jay-Z,"You're so contagious, I can't take it
Have my baby, let's just make it"
Jay-Z,"Welcome to the magnum opus, the Magna Carta
The best-selling author Decoded"
Jay-Z,"One day, you're screamin' you love me loud
The next day, you're so cold (Uh, uh, uh, uh, uh, uh)"
Jay-Z,"High on life
I could die from the fall, imagine if I hit the floor"
Jay-Z,"We don't lease, we buy the whole car, as you should
My confederation, dead a nation"
Jay-Z,"Straight cash I bought ya neighbor out
You should come to the housewarming"
Jay-Z,"High class, if you ain't rollin', bypass
If you ain't holdin', I dash, yo"
Jay-Z,"Real niggas just multiply
And they say by 21, I was supposed to die"
Jay-Z,"Ugh, yeah
If you feelin' like a pimp, nigga, go on—brush your shoulders off"
Jay-Z,"I want more than
You have my friends"
Jay-Z,"Can ya bounce wit me bounce wit me?
Geyeah"
Jay-Z,"Turn my vocal up, Guru! (Ha-ya)
Turn the music up too (Ha-ya-ya-ya)"
Jay-Z,"On four-four's (Who?) Four-four's at the 4-0 (Wait) for O
Dollars fall on the skin, some might call it sin"
Jay-Z,"I dress in Dries, and other boutique stores in Paris
In sheepskin coats, I silence the lambs"
Jay-Z,"""I can't die, I can't die, I can't die""
This shit is wicked on these mean streets"
Jay-Z,"Yeah, uh-uh uh uh
You ain't gotta be rich, but fuck that"
Jay-Z,"What's on my mind at any given time of day
'Cause I'm a renegade"
Jay-Z,"I hear sirens while we make love
Loud as hell, but they don't know"
Jay-Z,"Now that's Spanish chick, French chick, Indian, and Black
That's fried chicken, curry chicken, damn, I'm getting fat"
Jay-Z,"No one on the corner has swagger like us
Swagger like us, swagger-swagger like us"
Jay-Z,"Down to ride 'til the very end, is me and my boyfriend
(Me and my boyfriend, that's right)"
Jay-Z,"My greatest creation was you
*baby noises*"
Jay-Z,"Oh and chico, if anything happens to the buy money
Eh, pobrecito"
Jay-Z,"How much I'ma spend but you already know
Zip, zero, stingy with dinero"
Jay-Z,"Get up out of there, fuck the ride!
Keep your hands high, shit gets steeper (Uh)"
Jay-Z,"This a hunting season, mek I tell you hunting season
Well, I tell ya something season, yow this a hunting season"
Jay-Z,"In my rearview mirror is the motherfuckin' law
Got two choices, y'all: pull over the car or"
Jay-Z,"Sexy bitch, I hope she 'bout it
Come fuck with me, you know I got it"
Jay-Z,"Yeah, I seen 'em comin' down your eyes
But I gotta make the song cry"
Jay-Z,"Like the point guard off your favorite team, without doubt
My life ain't rosy but I roll with it"
Jay-Z,"Promise to never leave him even if his mama tweakin'
'Cause my dad left me and I promise never repeat him"
Jay-Z,"Come fuck with me, you know I got it
Fuck with me, you know I got it"
Jay-Z,"But when you Young, what the fuck you expect? Yep, yep!
Grand openin', grand closin'"
Jay-Z,"I said give it to me
Gimme that funk, that sweet, that nasty, that gushy stuff"
Jay-Z,"Is who's gon' run this town tonight
Hey, hey, hey, hey"
Jay-Z,"Super facts
Niggas switched sides, traded pride, we don't do all that"
Jay-Z,"This song was originally supposed to feature... Read More
Have you ever been to heaven?"
Jay-Z,"I'm out for presidents to represent me (Get money!)
I'm out for dead fuckin' presidents to represent me (Whose-)"
Jay-Z,"Have my baby, let's just make it
You might go, you mighta gotta go get you some Scooby Doo's"
Jay-Z,"Breeze driftin' on by, you know how I feel
Breeze driftin' on by, you know how I feel"
Jay-Z,"Flow so sick, thought he wrote the rap for him—no, sir!
The flow cold as the shoulders of gold-digging hoes"
Jay-Z,"Can't you see just how long my run?
My reign, Lulu's son-shine"
Jay-Z,"Fuck with me, you know I got it
Sexy bitch, I hope she 'bout it"
Jay-Z,"I get more in depth if you boys really real enough
This is La Familia, I'll explain later"
Jay-Z,"Not the fussin' and the frontin'
If you got nothing, baby boy, you better"
Jay-Z,"Blessings, blessings, yeah, I see..
Elephant tusk on the bow of a sailing lady, docked on the Ivory Coast"
Jay-Z,"And I don't wear jerseys, I'm 30-plus
Give me a crisp pair of jeans, nigga, button-ups"
Jay-Z,"Genius!
Don't be good my nigga, be great"
Jay-Z,"Tell that preacher he's a preacher, I'm a motherfuckin' prophet
Smoke a tree of knowledge, drink from a gold chalice"
Jay-Z,"Know about them Texas boys?
Comin' down in candied toys"
Jay-Z,"So a smirk was all on my face
Like, ""Damn, that man's face is just like my face"""
Jay-Z,"A Chandon sipper from a Rosé nigga, Huh?
Brook-Nam, sippin' on"
Jay-Z,"My whole life is leisure
Gangsta lean like the Pisa"
Jay-Z,"Got a thing for nickel plated nines and pretty dimes
MAC-11, I squeeze like lemon limes"
Jay-Z,"'bout 6 minutes, you gonna see me again
Shit on me, these niggas tried to shit on me"
Jay-Z,"Don't ever let me go, that's how you let me know, baby
Forever young, I wanna be forever young"
Jay-Z,"I don't care if they give me life
I get all of my life from you"
Jay-Z,"Life changed again I was already taking off
My flight changed again"
Jay-Z,"Confidentially speakin' in codes since I sense you peekin'
The NSX rental, don't be fooled, my game is mental"
Jay-Z,"Sticks to my mind
I want more than"
Jay-Z,"Bulletproof this, radio scanners
(You got scanners, we got scanners)"
Jay-Z,"""It's called greed, old sport.""
""That's right!"""
Jay-Z,"I ain't no politician, but I'll kick it with 'em a minute
'Cause see, they call me a menace and if the shoe fits, I'll wear it"
Jay-Z,"Shoulda stayed in food and beverage
Too much flossin', too much Sam Rothstein"
Jay-Z,"And I promise I'll give my life (Woo, I'm dancin', woo)
My love and my trust if you was my boyfriend (One more time)"
Jay-Z,"Why would you want to? You need me
Why don't you try me?"
Jay-Z,"Woo! Geah, geah (Young) geah
Uhh, turn the music up, turn the lights down, I'm in my zone"
Jay-Z,"All rhymers forget it like Alzheimer's
Small timers, I said it, I'm addressin' all drama"
Jay-Z,"Is it Black Girl Lost or shorty owe you for ice?
I've been real all my life, they confuse it with conceit"
Jay-Z,"Forever young, I wanna be forever young (Forever young)
Do you really want to live forever, forever? Forever young"
Jay-Z,"But then again, maybe it's for the best though
'Cause when they're seein' too much"
Jay-Z,"Lucifer, son of the morning! I'm gonna chase you out of Earth
(I'm from the murder capital, where we murder for capital)"
Jay-Z,"You guessed it, manifest it
In tangible goods, platinum Rolex'd it"
Jay-Z,"Ain't no love in the heart of town
Ain't no love in the heart of the city"
Jay-Z,"Rich nigga, poor nigga, house nigga, field nigga
Still nigga, still nigga"
Jay-Z,"Good times never fade away, smile
Even if I'm not with you here today, smile"
Jay-Z,"Can I get a ""fuck you"" –
To these bitches from all of my niggas"
Jay-Z,"But the whole world owe me, strip!""
Was thought to be a pleasant guy all my fuckin' life"
Jay-Z,"Leave a piece for your siblings to give to their children too
TIDAL, the champagne, D'USSÉ, I'd like to see"
Jay-Z,"I done came through the block in everything that's fly
I'm like Che Guevara with bling on, I'm complex"
Jay-Z,"You're an actor, you're not who you're depicted to be
You street dreamin', all y'all niggas livin' through me"
Jay-Z,"Shepard Fairey they finally gave me some hope
Can't believe they got a nigga to vote"
Jay-Z,"Emory passed you niggas and he did a bid
Ty Ty jumped over niggas and he's like 5'6"""
Jay-Z,"Got a pistol under my pillow
I've never been a deep sleeper"
Jay-Z,"The world's under new management
The new role model, fuck this Zoolander shit"
Jay-Z,"And them su, su, su, su, su
Fuck all this pretty Shawn Carter shit nigga, HOV"
Jay-Z,"And took it to Beverly Hills while we in Calabasas
And my head is scratchin' 'cause that shit is backwards"
Jay-Z,"I need a hunnid bricks on them hunnid blocks
I got a hunnid drops, took a hunnid cops, uh"
Jay-Z,"Graduated from the corner
Y'all can play me for a motherfuckin' fool if you wanna"
Jay-Z,"Forever young, I wanna be forever young (Forever young)
Do you really want to live forever, forever? Forever young"
Jay-Z,"I don't even know what that means
No one knows what it means, but it's provocative"
Jay-Z,"Preach
Human beings in a mob"
Jay-Z,"Didn't I spoil you? Me or the money, what you loyal to?
Huh, I gave you my loyalty"
Jay-Z,"Ain't no love in the heart of town
Ain't no love in the heart of the city"
Jay-Z,"That should be rollin' wit Jay-Z, Jay-Z
So hot to trot"
Jay-Z,"The castle got bigger, the walls got taller
And truth be told, after all that said"
Jay-Z,"You was a ballerina, I got the pictures, I seen ya
Then you dropped ""Shook Ones,"" switched your demeanor"
Jay-Z,"I don't care if we on the run
Baby, long as I'm next to you"
Jay-Z,"Britney, bitch
MCM seats buck 50 stitch"
Jay-Z,"Wayne did ""A Milli,"" Fifty did a milli
'Ye too, but what Em did was silly"
Jay-Z,"How you know? I got that feeling
You are now watching the throne"
Jay-Z,"Got on my pimp game; fuck the world, my defense came
Then DeHaven introduced me to the game"
Jay-Z,"Tom Ford
Oh, man, homie, so throwed"
Jay-Z,"I got a million ways to get it, choose one
Bring it back, now double your money and make it stack"
Jay-Z,"Doctors say I'm the illest 'cause I'm suffering from realness
Got my niggas in Paris and they going gorillas, huh"
Jay-Z,"20 million sold and we still catching charges
Rope chains, Rakim and Eric B"
Jay-Z,"'Cause what she prefers over me is work
And that's where we differ"
Jay-Z,"Extend the beat, Noah (And pray to the Lord), uh
Two seats in the 911, uh"
Jay-Z,"Ten years later, she driving a Hummer
Niggas hustle every day for a beat from Ye"
Jay-Z,"Ooh, I love you so
But why I love you, I'll never know"
Jay-Z,"I went from lukewarm to hot
Sleepin' on futons and cots to King Size"
Jay-Z,"My hairpin pierce skin, ruptures spleens
Cracks ribs, go through cribs, and other things"
Jay-Z,"I'll give an opportunity though, that's the plan now
No guilt in giving clear a nigga conscience out"
Jay-Z,"""Dear God, I wonder, can you save me?""
""Secret society, tryna keep they eye on me"""
Jay-Z,"I got ninety-nine problems, but a bitch ain't one – hit me!
Ninety-nine problems, but a bitch ain't one"
Jay-Z,"Come through with the 'Ye mask on
Spray everything like SAMO, I won't scratch the Lambo"
Jay-Z,"It was the cheese, helped them bitches get amnesia quick
I used to cut up they buddies, now they sayin' they love me"
Jay-Z,"Tickle my mind
Pardon my hubris, Stanley Kubrick"
Jay-Z,"I shoot at you actors like movie directors
This ain't a movie, dog (Oh, shit)"
Jay-Z,"I said, ""Pre-haps I Freudian slipped in European whips""
God sent me to break the chain, I'm the true and livin'"
Jay-Z,"New money, they looking down on me
Blue bloods they trying to clown on me"
Jay-Z,"Explode on detonation, overload the mind of a said patient
When it boils to steam, it comes to it"
Jay-Z,"Why do I keep on running away?
Look, I apologize, often womanize"
Jay-Z,"By the ounce, dough accumulates like snow
We don't just shine, we illuminate the whole show, you feel me?"
Jay-Z,"On repeat, the CD of Big's ""Me & My Bitch""
Watchin' Bonnie and Clyde, pretendin' to be that shit"
Jay-Z,"I got this young chick, she so immature
She like, ""Why you don't buy me Reeboks no more?"""
Jay-Z,"Throughout my junior high years it was all friendly
But now this higher learning got the Remy in me"
Jay-Z,"Do I look like a mind reader, sir? I don't know
Am I under arrest or should I guess some more?"""
Jay-Z,"Ho, get your ass in and let's ri-i-i-i-i-ide
Check 'em out now, ri-i-i-i-i-ide"
Jay-Z,"I got a million ways to get it, choose one
Bring it back, now double your money and make it stack"
Jay-Z,"She gets a glimpse of Shawn and she likes that
He 2-ways her, so she writes back"
Jay-Z,"Jay-Z and Biggie Smalls, nigga shit your drawers!
(Where you from?) Brooklyn goin' out to all!"
Jay-Z,"You can easily get past, but that chapter is done
...but I'm done readin' for now"
Jay-Z,"H to the izz-O, V to the izz-A
That's the anthem, getcha damn hands up"
Jay-Z,"Y'all knew that was comin', I had to remind y'all again, huh?
Flyin' paper planes through the projects"
Jay-Z,"Now my hand on the Bible on the stand
Got your man in a jam again, got my hands in cuff"
Jay-Z,"I went to school, got good grades, could behave when I wanted
But I had demons deep inside that would raise when confronted"
Jay-Z,"Basquiats, she learning a new word, it's yacht
Blew the world up soon as I hit the club with her"
Jay-Z,"Let go your ego over your right shoulder
Your left is sayin', ""Finish your breakfast!"""
Jay-Z,"Back through the system with the riff-raff again
Fiends on the floor, scratchin' again"
Jay-Z,"If Fear is your only God
Get y'all to fear me is my only job"
Jay-Z,"Come money dance with the good fellas
Hov keep gettin' that dinero, got it"
Jay-Z,"R-O-C, we runnin' this rap shit
M Easy, we runnin' this rap shit"
Jay-Z,"And I ain't tryin' to see no highway chase with Jake
Plus I got a few dollars, I can fight the case"
Jay-Z,"No I swear I'll never give it up
Give it up, give it up, give it all away"
Jay-Z,"So fuck what we sellin', fuck is we makin'?
'Cause their grass is greener 'cause they always rakin' in mo'"
Jay-Z,"Nah, JAY-Z
Bye, JAY-Z"
Jay-Z,"Knew if I paid my dues, how will they pay you?
When you first come in the game, they try to play you"
Jay-Z,"Tim, you can go on and brush your shoulders off, nigga
I got you"
Jay-Z,"Now who gon' stop me? Who gon' stop me, huh?
Who gon' stop me? Who gon' stop me, huh?"
Jay-Z,"Sharper than the swag or dagger all metal
And my jewels blue and yellow"
Jay-Z,"(Ball so hard) That shit cray, ain't it, Jay?
(B-ball so hard) What she order, fish fillet?"
Jay-Z,"Gold-plated quarters, where the butlers be
I'ma play the corners where the hustlers be"
Jay-Z,"Gonna see you again, I'm sure of it
'Til that time, little man, I'm nauseous"
Jay-Z,"Black excellency, baby, let 'em see
Day, someday, someday we'll all"
Jay-Z,"Niggas'll kidnap your baby, spit at your lady
We bring knife to fistfight, kill your drama, uh"
Jay-Z,"Buy some red wine, a little Gaja 9-7
You're so contagious, I can't take it"
Jay-Z,"He was preachin' on Sundays, versus how he was livin' Monday
Someday I forgive him"
Jay-Z,"It's big pimpin', spendin' Gs
Feel me, uh-huh uh, uh-huh"
Jay-Z,"And y'all buy the shit, caught up in the hype
'Cause the nigga wear a kufi, it don't mean that he bright"
Jay-Z,"Bring 'em a lot closer to the block where they pop toasters
And they live with they moms, got dropped roadsters"
Jay-Z,"I'm Christopher Columbus, y'all just the Pilgrims
Thanksgiving, do we even got a question?"
Jay-Z,"Fuck with me, you know I got it
Bad bitch, I hope she 'bout it"
Jay-Z,"Cliché, cliché, cliché, cliché
What about the bad guy goes good, yeah?"
Jay-Z,"But he gotta respect the Elohim as a whole new regime
And niggas playin' for power, huh"
Jay-Z,"The production features vocals by John Legend, Don Crawley, GLC and Kanye West – a family singalong
Kanye samples the trumpet intro to John Holt’s cover... Read More"
Jay-Z,"You's the fag model for Karl Kani, Esco ads
Went from Nasty Nas to Esco's trash"
Jay-Z,"""Who is he anyhow, an actor?""
“Meyer? No, he’s a gambler. He’s the man who fixed the 1919 World’s Series."""
Jay-Z,"Girls, I do adore
Yo, put your number on this paper, 'cause I would love to date ya"
Jay-Z,"I'm on to the next one, on to the next one
I'm on to the next one, on to the next one"
Jay-Z,"Holla at you when I come off tour
I love girls, girls, girls, girls"
Jay-Z,"I seen the innocence leave your eyes
I still mourn its death and"
Jay-Z,"And my nigga just made it out the precinct
We give a damn about the drama that your dude bring"
Jay-Z,"I'll be here forever, you know I'm on my fall shit
And I ain't with foreclosure, I will never forfeit"
Jay-Z,"Now I just wanna love ya! (Young Hova)
But be who I am (You know you love me)"
Jay-Z,"Yet we know not what we may be""
So maybe I'm the one or maybe I'm crazy"
Jay-Z,"Fuck with me, you know I got it
Fuck with me, you know I got it"
Jay-Z,"You better look like Halle Berry... Or Beyoncé
Shit, then we getting married"
Jay-Z,"Fuck with me, you know I got it
Fuck with me, you know I got it"
Jay-Z,"Fuck your iris and the IRS (Yeah)
Get the hell up off your high horse"
Jay-Z,"Naked without your gun, we takin' everything you brung
We cakin', you niggas is fakin', we gettin' it done"
Jay-Z,"Yeah, it's all messed up when it's nowhere to go
So we won't take the time out 'til we reach the T-O-P"
Jay-Z,"And you fake thugs is unplugged like MTV
I empty three, take your treasure, my pleasure"
Jay-Z,"Rae took on the date with the Purple Tape
Passed on to Ason and then Ghostface"
Jay-Z,"What more can I tell you? Let me spell it for you:
W-I, double-L, I-E"
Jay-Z,"Now give it to me
Gimme that funk, that sweet, that nasty, that gushy stuff"
Jay-Z,"I just can't crack your code (Uh, uh-uh, uh, uh-uh, uh)
One day, you're screamin' you love me loud"
Jay-Z,"The world'll feel my truths
All through my Hard Knock Lifetime, A Gift and a Curse"
Jay-Z,"When Slick Rick made ""Mona Lisa""
When Lisa Bonet was Beyoncé of her day, I had divas, y'all"
Jay-Z,"Ladies and gentlemen
Goddammit"
Jay-Z,"Y'all need to step up y'all AV
Life changed again I was already taking off"
Jay-Z,"So that's what I'ma do, take you back to the dude with the Lexus
Fast-forward the jewels and the necklace"
Jay-Z,"She said, ""All you need to know is I'm not a ho
And to get with me, you better be Chief Lots-a-Dough"""
Jay-Z,"The first verse deals with the rapper’s early career as a... Read More
Ladies and gentlemen, let's put our hands together for this dynasty"
Jay-Z,"“I work and work 'til I'm half-dead and I hear people saying
""She's getting old,"" and what do I get? A daughter"
Jay-Z,"I got you
(Ugh, ch-ch, ugh, ugh, Jigga)"
Jay-Z,"One-two and I won't stop abusin' it
To groupie girls: stop false accusin' it"
Jay-Z,"Y'all think it's bougie, I'm like, it's fine
But I'm tryin' to give you a million dollars worth of game for $9.99"
Jay-Z,"I got a good life, man, pounds and pence
'Nough dollars make sense"
Jay-Z,"Just a picture-perfect day that last a whole lifetime
And it never ends 'cause all we have to do is hit rewind"
Jay-Z,"There's nothin' you can't do (Yeah, okay)
Now you're in New York (Aha, aha, aha; uh, yeah)"
Jay-Z,"There's room on the bandwagon, don't abort
Marcy me"
Jay-Z,"The Martha Stewart that's far from Jewish
Far from a Harvard student, just had the balls to do it"
Jay-Z,"What's fifty grand to a motherfucker like me? Can you please remind me?
(Ball so hard) This shit crazy"
Jay-Z,"Y'all think small, I think Biggie
Y'all whole pass is in danger, ten Mississippi"
Jay-Z,"But, nigga, if you hate now then you wait while I get your bitch butt-naked
Just break it; you gotta pay like you weigh wet with two pairs of clothes on"
Jay-Z,"Picasso
Picasso, baby"
Jay-Z,"Dead fuckin' presidents to represent me (Whose-)
Dead fuckin' presidents to represent me (Whose-)"
Jay-Z,"""I suggest you call my lawyer, I know the procedure.""
Lock my body, can't trap my mind"
Jay-Z,"Breeze driftin' on by
Uh"
Jay-Z,"What's a king to a god?
What's a god to a non-believer"
Jay-Z,"There ain't no reason why I be buying expensive chains
Hope you don't think users are the only abusers"
Jay-Z,"Sweet baby Jesus (Ooh, ooh-ooh-ooh, ooh-ooh-ooh)
Oh, sweet baby Jesus, we made it in America"
Jay-Z,"So a pinch of Hov, a whole glass of Bey
Glory, uh"
Jay-Z,"Bitches kill for, would you still roll?
If we couldn't see the sun risin' off the shore of Thailand"
Jay-Z,"I can spend my whole life Good Will Hunting
Only good gon' come is this good when I'm cumming"
Jay-Z,"I stepped it up another level, meditated like a Buddhist
Recruited lieutenants with ludicrous dreams of gettin' cream"
Jay-Z,"My–coochie remains in a Gucci name
Never test my patience, nigga, I'm high maintenance"
Jay-Z,"Since I'm in a position to talk to these kids and they listen
I ain't no politician, but I'll kick it with 'em a minute"
Jay-Z,"Somebody important or something?""
Well, I ain't passed the bar, but I know a little bit"
Jay-Z,"I'm in Cuba, I love Cubans
This communist talk is so confusing"
Jay-Z,"Nigga, deal with, this shit ain't work
This light work, camera snappin', my eyes hurt"
Jay-Z,"I went through hell, I'm expectin' heaven
I'm owed, 'cause I'm dough, and I stuck to the G-code"
Jay-Z,"I'm out for presidents to represent me (Get money!)
I'm out for presidents to represent me (Get money!)"
Jay-Z,"Tom Ford
Coming up, coming down"
Jay-Z,"Pretend to be heroic, that's just one to grow with
But deep inside, a nigga so sick"
Jay-Z,"These fucks, too lazy to make up shit, they crazy
They don't, paint pictures, they just, trace me"
Jay-Z,"Yo, my balls and my word is alls I have
What you gonna do to me, nigga? Scars'll scab"
Jay-Z,"I gave you Volume after Volume of my work
So you can feel my truths"
Jay-Z,"Maybach, 3 TV's all up in the headrest
Mace niggas at Madison Square Garden"
Jay-Z,"One day, you care (Yeah), you're so unfair
Sippin' from your cup 'til it runneth over (Uh, uh; yeah)"
Jay-Z,"For like half a billy and your ass ain't lily-White
That mean that shit you write must be illy"
Jay-Z,"Walkin' tall against the rain
Victory's within the mile"
Jay-Z,"Can I get a ""fuck you"" –
To these bitches from all of my niggas"
Jay-Z,"The more you gon' need memorial services
The Black Album, second verse, is like"
Jay-Z,"I mean, I might even make him be Republican
So everybody know he love white people"
Jay-Z,"Went from Nasty Nas to Esco's trash
Had a spark when you started, but now, you're just garbage"
Jay-Z,"Need a hunnid, got a hunnid
Got a hunnid, hunnid, uh"
Jay-Z,"(Uhuu)
And if loving you is a crime"
Jay-Z,"Yeah, me and the RZA connect
Breeze driftin' on by"
Jay-Z,"That's like sayin' I'm the tallest midget (Ha-ya)
Wait, that ain't politically correct, forget it (Ha-ya)"
Jay-Z,"And now we're lethal, infected with D'evils
""Dear God, I wonder, can you save me?"""
Jay-Z,"Picasso, baby
Oh, what a feeling"
Jay-Z,"Stop walkin' around like y'all made Thriller, huh?
Fake Dracos all in the videos"
Jay-Z,"So I keep one eye open like CBS — you see me stressed, right?
Can I live?"
Jay-Z,"'Til we all got triangles on our wall
Ain't just rapping for the platinum, y'all record"
Jay-Z,"Mami's a narcoleptic, always sleeping on Hov
Got to tie the back of her head like Deuce Bigalow"
Jay-Z,"Swagger like us, swagger-swagger like us
Mr. West is in the buildin'"
Jay-Z,"In Los Angeles, like an evangelist
I can introduce you to your maker"
Jay-Z,"Ya-yah-yah, ya-ya-yah-yeah bounce wit me, bounce wit me
Ge-gi, ge-gi-gi-gi-geyeah bounce wit me, bounce wit me"
Jay-Z,"So picture me lettin' these clowns nitpick at me
Paint me like a pickany"
Jay-Z,"Look a man dead in his eyes
So he know you talk truth when you speak it"
Jay-Z,"Afucker is a billionaire mothafucker (Let's work! Talk to me, youlet's work!)
Where  heard ta at?!"
Jay-Z,"Look for me
Young, B, cruisin' down the Westside Highway"
Jay-Z,"I paid for them titties, get your own
It ain't safe in the city, watch the throne"
Jay-Z,"It's the hard knock life for us
It's the hard knock life for us"
Jay-Z,"I do this for my culture, to let 'em know
What a nigga look like when a nigga in a roadster"
Jay-Z,"Bad bitch, I hope she 'bout it
Bad bitch, I know she 'bout it"
Jay-Z,"The paper read, ""Murder, Black-on-Black murder"" again
""Murder"" again"
Jay-Z,"(Fort Greene) You won't stop! (Niggas)
Yeah, yeah, yeah"
Jay-Z,"Big man! You wanna make some big bucks, huh?
Let's see how tough you are"
Jay-Z,"(Watch out, we run New York)
I don't care if you Mobb Deep, I hold triggers to crews"
Jay-Z,"Mummy wrap the kids, have 'em cryin' for they mommy back
Dummy that your daddy is, tell him I just want my racks"
Jay-Z,"To give you a piece of my mind
('Cause you can't knock the hustle)"
Jay-Z,"Oh, can't walk away, I know, I know
Just the way I'm raised"
Jay-Z,"So those opposites attract like mag-a-nets
She sees more than the Benz wagon, the friends taggin' along"
Jay-Z,"Living in the shadow
Can you imagine what kind of life it is to live?"
Jay-Z,"What you think I rap for, to push a fuckin' RAV4?
But I know that if I stay stunting"
Jay-Z,"Only thing missin' is a Missus
You ain't even gotta do the dishes, got two dishwashers"
Jay-Z,"Collab from Versace's place
Cuban link 5 kilo"
Jay-Z,"I live by you, desire
I stand by you, walk through the fire"
Jay-Z,"Hope you don't think users are the only abusers
Niggas getting high within the game"
Jay-Z,"Brooklyn represent y'all, hit, you fold
You crazy, think your little bit of rhymes can play me?"
Jay-Z,"From parolees that hold G's, sold keys, low keys
We like the promised land of the OG's"
Jay-Z,"(Just talk about)
Bounce.. bounce, bounce, Jay-Z huh?"
Jay-Z,"This is something like the Holocaust
Millions of our people lost"
Jay-Z,"Baby, I paint the sky blue (Uh)
My greatest creation was you"
Jay-Z,"H to the izz-O, V to the izz-A
Not guilty, y'all got to feel me"
Jay-Z,"Y'all niggas gon' learn to respect the king
Don't be the next contestant on that Summer Jam screen"
Jay-Z,"Coming up, coming down
Riding clean, fix your hair in my Crown"
Jay-Z,"Turn nickels to dime, turn dimes to quarters
Turn wives from daughters, oh, I'm clear as water"
Jay-Z,"And all the towns like Cambridge that I killed with shit
And all the thorough-ass niggas that I hustle with"
Jay-Z,"I don't care if they come, no
I know it's crazy but"
Jay-Z,"That's why it's a black market, that's why it's called the trap
That's why it's called the projects 'cause it's exactly that"
Jay-Z,"That's Pig Latin, itch-bay, who gon' stop me, huh?
Last night ain't go so well, got kicked up out the hotel"
Jay-Z,"We ain't even 'posed to be here
(Ball so hard) Since we here"
Jay-Z,"If somebody hurts you (Uh)
Even if that somebody was me (Woo, that's hot)"
Jay-Z,"(Me and my boyfriend, that's right)
All I need in this life of sin is me and my girlfriend"
Jay-Z,"You can turn up your nose high society
Never gone turn down the homie"
Jay-Z,"Sometimes you need your ego, gotta remind these fools
Who they effin' with, and we got FN's too"
Jay-Z,"Then you dropped ""Shook Ones,"" switched your demeanor
Well, we don't believe you, you need more people"
Jay-Z,"Nine to be exact, from grindin' G-packs
Put this shit in motion, ain't no rewindin' me back"
Jay-Z,"Everybody wanna ball
Holla at broads at the mall"
Jay-Z,"Movin' wet off the step, purple rain in a drought
Stuntin' on hoes, brushin' off my shirt"
Jay-Z,"I used to move snowflakes by the O-Z
I guess even back then you can call me"
Jay-Z,"It's a new dawn, it's a new day
It's a new life for me, ooh"
Jay-Z,"Every day a star is born (And you say New York City! Uh-huh)
Clap for 'em! Clap for 'em! Clap for 'em! Hey"
Jay-Z,"Was a kid torn apart once his pop disappeared
I went to school, got good grades, could behave when I wanted"
Jay-Z,"Never repeat him, never repeat him
Sun in the sky, you know how I feel"
Jay-Z,"So poof, vamoose, son of a bitch
H to the izz-O, V to the izz-A"
Jay-Z,"Uh, everything's for sale
I got five passports, I'm never going to jail"
Jay-Z,"You front row everywhere, you in the H.O.V.'s
Jordan 1's and dungarees"
Jay-Z,"Stop motion, ooh, yeah
Go harder than a nigga for a nigga, go figure"
Jay-Z,"Head of the family
El Padrino"
Jay-Z,"Your girlfriend's pregnant, the Lord's gift
Almost lost my faith, that restored it"
Jay-Z,"Everything was all good just a week ago
'Bout to start bitchin', ain't you? Ready to start snitchin', ain't you?"
Jay-Z,"With no pen, just draw off inspiration
Soon you gonna see you can't replace him"
Jay-Z,"Do you know who I am, Clarice?
No cheap cologne whenever I ""shh-shh"""
Jay-Z,"Sun in the sky, you know how I feel
Breeze driftin' on by"
Jay-Z,"Nigga, never go Eric Benét!
I don't even know what you woulda done"
Jay-Z,"Said 'scuse me, damn!
You're so contagious, I can't take it"
Jay-Z,"(Caught in the undertow, just caught in the undertow)
Every step that I take is another mistake to you"
Jay-Z,"Bloody murder, murder, murder, murder
Bloody murder, murder, murder"
Jay-Z,"Bloody murder, murder, murder, murder
Bloody murder, murder, murder, murder"
Jay-Z,"Do this shit for my town
Leave the door open hoping they kick it down"
Jay-Z,"But I know, the sun don't shine if son don't shine
That's why your (Lame), career's come to an end"
Jay-Z,"Me and the RZA connect
Breeze driftin' on by"
Jay-Z,"Ain't I supposed to be absorbed in myself?
Every time there's a tragedy, I'm the first one to help"
Jay-Z,"Pumping ""Brown Sugar"" by D'Angelo
In Los Angeles, like an evangelist"
Jay-Z,"So you won't confuse it with just rap music
R-O-C, we runnin' this rap shit"
